0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 200 3093
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/images/streetstudy.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:28 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:33 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/images/streetstudy.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:10 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:11 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:36:35 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
